program,Percentage_University_offering
Biomechanics,5.882352941
ai,5.882352941
eecs,11.76470588
entrepreneurship,11.76470588
environmental engineering and science,5.882352941
finance,5.882352941
globalization studies and engineering,5.882352941
internship,5.882352941
life sciences,5.882352941
management science and engineering,17.64705882
marketing,5.882352941
materials science and engineering,5.882352941
multidisciplinary design,11.76470588
physics,5.882352941
public health,5.882352941
statistics,5.882352941
sustainability,11.76470588
