program,Percentage_University_offering
additive manufacturing,1.1363636363636365
advanced prototyping,1.1363636363636365
aerospace engineering,4.545454545454546
ai,2.272727272727273
airport development,1.1363636363636365
archaeology and materials,1.1363636363636365
archineering,1.1363636363636365
architectural engineering and design,1.1363636363636365
architectural studies,2.272727272727273
arts,2.272727272727273
audio engineering,1.1363636363636365
"authenticity and art crime - methods, materials, and the market",1.1363636363636365
bachelor and master program,1.1363636363636365
bend and break,1.1363636363636365
bioengineering,1.1363636363636365
biomedical engineering,6.8181818181818175
biotechnology,2.272727272727273
chemistry,2.272727272727273
"cities, migration & socio-spatial inequality",1.1363636363636365
civil and environmental systems,1.1363636363636365
civil engineering,3.4090909090909087
climate and space sciences and engineering,1.1363636363636365
"climate change, adaptation and mitigation",1.1363636363636365
collaborative science for biomedical breakthroughs (lde),1.1363636363636365
"colloids, polymers, and surfaces",1.1363636363636365
commerce,1.1363636363636365
communication and engineering,1.1363636363636365
community engagement,1.1363636363636365
connected creativity,1.1363636363636365
construction engineering and management,1.1363636363636365
data science and engineering,2.272727272727273
"delta expert, water for the future",1.1363636363636365
economics,1.1363636363636365
educatie,1.1363636363636365
eecs,6.8181818181818175
electronic intelligent systems,1.1363636363636365
electronic materials,1.1363636363636365
energy engineering,1.1363636363636365
energy systems,2.272727272727273
engineering and business,1.1363636363636365
engineering for large-scale energy conversion and storage,1.1363636363636365
entrepreneurship,5.681818181818182
environmental engineering and science,7.954545454545454
environmental engineering and sustainable design,1.1363636363636365
finance,3.4090909090909087
geo-resources for the future (lde),1.1363636363636365
geoengineering,1.1363636363636365
globalization studies and engineering,4.545454545454546
"imagining port cities: understanding space, society and culture",1.1363636363636365
industrial engineering and operations research,1.1363636363636365
innovation,3.4090909090909087
internship,1.1363636363636365
liberal arts and engineering,1.1363636363636365
living education lab,1.1363636363636365
management science and engineering,4.545454545454546
marketing,1.1363636363636365
materials science and engineering,9.090909090909092
mathematics,2.272727272727273
mechanical behavior of materials,1.1363636363636365
mechanical engineering,3.4090909090909087
medicine and engineering,1.1363636363636365
mining engineering,1.1363636363636365
multidisciplinary design,2.272727272727273
music and engineering,1.1363636363636365
musical science and technology,1.1363636363636365
nanotechnology,1.1363636363636365
naval science,1.1363636363636365
nuclear science and engineering,3.4090909090909087
offshore wind energy,1.1363636363636365
physics,2.272727272727273
quantum science and quantum information,1.1363636363636365
research project applied earth sciences,1.1363636363636365
robotics,3.4090909090909087
science,1.1363636363636365
"security, safety & justice (ld)",1.1363636363636365
self-composed minor,1.1363636363636365
software engineering,1.1363636363636365
space missions,1.1363636363636365
spatial computing for sustainable development,1.1363636363636365
structural engineering,1.1363636363636365
study abroad,1.1363636363636365
study abroad african diaspora studies,1.1363636363636365
study abroad dynamics,1.1363636363636365
study abroad life science/molecular science,1.1363636363636365
study abroad physics/nanobiology,1.1363636363636365
sustainability,2.272727272727273
systems engineering,1.1363636363636365
transportation,2.272727272727273
